produce_name,category,season,is_available,price_per_unit,vendor
Tomato,Vegetable,All-Year,True,47,Healthy Pulses
Potato,Vegetable,All-Year,True,116,Dairy Delights
Onion,Vegetable,All-Year,False,0,Green Farms
Carrot,Vegetable,All-Year,True,31,Dairy Delights
Spinach (Palak),Vegetable,All-Year,True,137,Healthy Pulses
Cauliflower (Gobi),Vegetable,All-Year,True,63,Fresh Veggies
Cabbage (Patta Gobi),Vegetable,All-Year,True,45,Healthy Pulses
Cucumber (Kheera),Vegetable,All-Year,True,102,Green Farms
Bell Pepper (Shimla Mirch),Vegetable,All-Year,True,141,Punjab Grains Co.
Okra (Bhindi),Vegetable,All-Year,True,112,Dairy Delights
Bottle Gourd (Lauki),Vegetable,All-Year,True,146,Dairy Delights
Brinjal (Baingan),Vegetable,All-Year,False,0,Dairy Delights
Ginger (Adrak),Vegetable,All-Year,True,72,Healthy Pulses
Garlic (Lehsun),Vegetable,All-Year,True,79,Green Farms
Green Chilli (Hari Mirch),Vegetable,All-Year,False,0,Organic Roots
Radish (Mooli),Vegetable,All-Year,False,0,Green Farms
Peas (Matar),Vegetable,All-Year,True,138,Village Fresh
Pumpkin (Kaddu),Vegetable,All-Year,True,55,Village Fresh
Bitter Gourd (Karela),Vegetable,All-Year,False,0,Organic Roots
Beetroot,Vegetable,All-Year,False,0,Punjab Grains Co.
Sweet Potato (Shakarkandi),Vegetable,All-Year,True,52,Fresh Veggies
Broccoli,Vegetable,All-Year,False,0,Green Farms
Zucchini,Vegetable,All-Year,True,142,Himalayan Organics
Mushroom,Vegetable,All-Year,True,147,Green Farms
French Beans,Vegetable,All-Year,True,122,Green Farms
Ridge Gourd (Tori),Vegetable,All-Year,True,69,Fresh Veggies
Tinda,Vegetable,All-Year,True,93,Punjab Grains Co.
Corn,Vegetable,All-Year,True,141,Fresh Veggies
Lettuce,Vegetable,All-Year,True,67,Healthy Pulses
Leek,Vegetable,All-Year,True,118,Organic Roots
Turnip (Shalgam),Vegetable,All-Year,False,0,Organic Roots
Ash Gourd (Petha),Vegetable,All-Year,True,33,Ratnagiri Fruits
Cluster Beans (Gawar),Vegetable,All-Year,False,0,Green Farms
Celery,Vegetable,All-Year,True,102,Punjab Grains Co.
Asparagus,Vegetable,All-Year,True,148,Green Farms
Mango,Fruit,All-Year,True,136,Dairy Delights
Apple,Fruit,All-Year,False,0,Ratnagiri Fruits
Banana,Fruit,All-Year,True,224,Organic Roots
Orange,Fruit,All-Year,True,136,Dairy Delights
Watermelon,Fruit,All-Year,False,0,Punjab Grains Co.
